label,message
ham,Yup ok thanx...
ham,"Hello.How u doing?What u been up 2?When will u b moving out of the flat, cos I will need to arrange to pick up the lamp, etc. Take care. Hello caroline!"
ham,At 7 we will go ok na.
ham,Yup. Izzit still raining heavily cos i'm in e mrt i can't c outside.
ham,I'm at work. Please call
spam,PRIVATE! Your 2003 Account Statement for 07753741225 shows 800 un-redeemed S. I. M. points. Call 08715203677 Identifier Code: 42478 Expires 24/10/04
ham,HI ITS KATE CAN U GIVE ME A RING ASAP XXX
ham,What time should I tell my friend to be around?
ham,Oh all have to come ah?
ham,"As usual..iam fine, happy & doing well..:)"
ham,"Just arrived, see you in a couple days <3"
ham,"Whatever, juliana. Do whatever you want."
spam,URGENT! We are trying to contact you. Last weekends draw shows that you have won a å£900 prize GUARANTEED. Call 09061701851. Claim code K61. Valid 12hours only
ham,I hope your pee burns tonite.
ham,Thanks and ! Or bomb and date as my phone wanted to say!
ham,Hey what how about your project. Started aha da.
ham,"7 wonders in My WORLD 7th You 6th Ur style 5th Ur smile 4th Ur Personality 3rd Ur Nature 2nd Ur SMS and 1st \Ur Lovely Friendship\""... good morning dear"""
spam,We tried to call you re your reply to our sms for a video mobile 750 mins UNLIMITED TEXT free camcorder Reply or call now 08000930705 Del Thurs
spam,Urgent! Please call 09061213237 from a landline. å£5000 cash or a 4* holiday await collection. T &Cs SAE PO Box 177 M227XY. 16+
ham,"Its ok, if anybody asks abt me, u tel them..:-P"
ham,Shall I bring us a bottle of wine to keep us amused? Only joking! I‰Û÷ll bring one anyway
ham,Jus finished avatar nigro
ham,X2 . Are you going to get that
spam,Married local women looking for discreet action now! 5 real matches instantly to your phone. Text MATCH to 69969 Msg cost 150p 2 stop txt stop BCMSFWC1N3XX
ham,I'm job profile seems like bpo..
ham,Free any day but i finish at 6 on mon n thurs...
ham,I dont have that much image in class.
spam,okmail: Dear Dave this is your final notice to collect your 4* Tenerife Holiday or #5000 CASH award! Call 09061743806 from landline. TCs SAE Box326 CW25WX 150ppm
ham,I take it the post has come then! You must have 1000s of texts now! Happy reading. My one from wiv hello caroline at the end is my favourite. Bless him
ham,Love it! I want to flood that pretty pussy with cum...
spam,"For ur chance to win å£250 cash every wk TXT: PLAY to 83370. T's&C's www.music-trivia.net custcare 08715705022, 1x150p/wk."
spam,"For your chance to WIN a FREE Bluetooth Headset then simply reply back with \ADP\"""""
ham,U R THE MOST BEAUTIFUL GIRL IVE EVER SEEN. U R MY BABY COME AND C ME IN THE COMMON ROOM
ham,Ok.
ham,Yes. It's all innocent fun. O:-)
ham,"Hiya , have u been paying money into my account? If so, thanks. Got a pleasant surprise when i checked my balance -u c, i don't get statements 4 that acc"
ham,Don't forget who owns you and who's private property you are ... And be my good boy always .. *passionate kiss*
ham,Yar lor... Keep raining non stop... Or u wan 2 go elsewhere?
ham,Where's my boytoy? I miss you ... What happened?
ham,How much is torch in 9ja.
spam,"You've won tkts to the EURO2004 CUP FINAL or å£800 CASH, to collect CALL 09058099801 b4190604, POBOX 7876150ppm"
ham,Well. Balls. Time to make calls
ham,Wat uniform? In where get?
spam,"Urgent! Please call 0906346330. Your ABTA complimentary 4* Spanish Holiday or å£10,000 cash await collection SAE T&Cs BOX 47 PO19 2EZ 150ppm 18+"
ham,Happy New Year Princess!
ham,"Sorry,in meeting I'll call later"
ham,I didnt get anything da
ham,Somebody should go to andros and steal ice
ham,Can you say what happen
ham,"Alright if you're sure, let me know when you're leaving"
ham,Should I head straight there or what
ham,Double eviction this week - Spiral and Michael and good riddance to them!
ham,I have many dependents
ham,Oh ho. Is this the first time u use these type of words
ham,Check with nuerologist.
ham,"Me not waking up until 4 in the afternoon, sup"
ham,Convey my regards to him
ham,"\Im on gloucesterroad what are uup to later?\"""""
ham,Reason is if the team budget is available at last they buy the unsold players for at base rate..
ham,"that would be good ‰Û_ I'll phone you tomo lunchtime, shall I, to organise something?"
ham,"No dice, art class 6 thru 9 :( thanks though. Any idea what time I should come tomorrow?"
ham,I'm at work. Please call
ham,Its not the same here. Still looking for a job. How much do Ta's earn there.
ham,Be happy there. I will come after noon
spam,IMPORTANT MESSAGE. This is a final contact attempt. You have important messages waiting out our customer claims dept. Expires 13/4/04. Call 08717507382 NOW!
ham,"You might want to pull out more just in case and just plan on not spending it if you can, I don't have much confidence in derek and taylor's money management"
ham,"\Speak only when you feel your words are better than the silence...\"" Gud mrng:-)"""
ham,Can... I'm free...
ham,They don't put that stuff on the roads to keep it from getting slippery over there?
ham,"Hey sexy buns ! Have I told you ? I adore you, loverboy. I hope you remember to thank your sister in law for those meatballs *grins* ... i love you, babe"
ham,When should I come over?
ham,"(And my man carlos is definitely coming by mu tonight, no excuses)"
spam,Txt: CALL to No: 86888 & claim your reward of 3 hours talk time to use from your phone now! Subscribe6GBP/mnth inc 3hrs 16 stop?txtStop www.gamb.tv
ham,Yar lor wait 4 my mum 2 finish sch then have lunch lor... I whole morning stay at home clean my room now my room quite clean... Hee...
ham,"What's up bruv, hope you had a great break. Do have a rewarding semester."
ham,This pay is lakhs:)
ham,Hey gals.. Anyone of u going down to e driving centre tmr?
ham,Mum not going robinson already.
ham,Only once then after ill obey all yours.
ham,I knew it... U slept v late yest? Wake up so late...
ham,Are u coming to the funeral home
spam,"Had your mobile 10 mths? Update to the latest Camera/Video phones for FREE. KEEP UR SAME NUMBER, Get extra free mins/texts. Text YES for a call"
ham,I borrow ur bag ok.
ham,Right it wasnt you who phoned it was someone with a number like yours!
ham,Wat u doing there?
ham,Nothing. Can...
ham,Dont know supports ass and srt i thnk. I think ps3 can play through usb too
ham,It will stop on itself. I however suggest she stays with someone that will be able to give ors for every stool.
ham,what number do u live at? Is it 11?
ham,"\ME 2 BABE I FEEL THE SAME LETS JUST 4GET ABOUT IT+BOTH TRY +CHEER UP+NOT FIT SOO MUCHXXLOVE U LOCAXX\"""""
ham,"4 tacos + 1 rajas burrito, right?"
ham,gonna let me know cos comes bak from holiday that day. is coming. Don't4get2text me number.
ham,What i told before i tell. Stupid hear after i wont tell anything to you. You dad called to my brother and spoken. Not with me.
ham,Babe? You said 2 hours and it's been almost 4 ... Is your internet down ?
ham,Sounds like you have many talents! would you like to go on a dinner date next week?
ham,have * good weekend.
ham,Was doing my test earlier. I appreciate you. Will call you tomorrow.
ham,Aiyo a bit pai seh Ì_ noe... Scared he dun rem who i am then die... Hee... But he become better lookin oredi leh...
ham,Big brother‰Û÷s really scraped the barrel with this shower of social misfits
ham,"Its ok, called mom instead have fun"
ham,Ok
ham,Most of the tiime when i don't let you hug me it's so i don't break into tears.
ham,I was about to do it when i texted. I finished a long time ago and showered and er'ything!
ham,"I'm home, my love ... If your still awake ... *loving kiss*"
ham,Okay... We wait ah
ham,K.k:)i'm going to tirunelvali this week to see my uncle ..i already spend the amount by taking dress .so only i want money.i will give it on feb 1
ham,I think if he rule tamilnadu..then its very tough for our people.
ham,Stupid.its not possible
ham,So why didnt you holla?
